_id,orig,hun,prec,rating,seen
1602,,120-as tempó,,,
1607,,a csúnya lány,,,
1614,,a kölcsönkért kastély,2,,
1625,,a papucshős,,,
1655,,az ördög nem alszik,,,
1658,,az új rokon,,,
1675,,címzett ismeretlen,,,
1690,,dunaparti randevú,,,
1695,,egy bolond százat csinál,,,
1696,,egy éjszaka erdélyben,,,
1698,,"egy szoknya, egy nadrág",,,
1701,,éjféli gyors,,,
1702,,ember a híd alatt,,,
1711,,ez a villa eladó,,,
1721,,fény és árnyék,,,
1722,,fizessen nagysád,,,
1730,,halálos tavasz,,,
1734,,háromszázezer pengő az utcán,,,
1736,,hazajáró lélek,,,
1750,,katyi,,,
1765,,légy jó mindhalálig,,,
1766,,lila akác,,,
1768,,lovagias ügy,,,
1770,,maga lesz a férjem,,,
1772,,majális,,,
1778,,meseautó,1,10,1
1789,,nászút féláron,,,
1800,,ördöglovas,,,
1802,,pesti mese,,,
1809,,régi keringő,,,
1844,,úrilány szobát keres,,,
1849,,valamit visz a víz,,,